Poliza,Monto,Fecha,Descripcion,Aprobado
rWhe6,2377,31/12/2023 10:02:47,Vestrum quo debitis condico.,NO APROBADO
XDm5v,8929,04/12/2023 11:20:44,Caelum volo rerum tutamen pauper eaque.,NO APROBADO
wklS5,6750,07/02/2024 19:23:00,Carpo aliquid substantia tyrannus validus verus totidem colo vulnus.,APROBADO
luvop,3342,02/09/2024 06:15:21,Sint decumbo repellat spiritus cognomen statua.,APROBADO
mFXyQ,8296,24/07/2024 21:18:00,Vomer anser cicuta cura tergiversatio tutamen tero tertius.,NO APROBADO
WmuSQ,9742,04/03/2024 11:48:01,Supellex vere consequatur aequus.,APROBADO
uQpq1,3418,06/01/2024 08:10:42,Infit thermae ultio soleo consuasor dolorem arceo tamisium audeo.,NO APROBADO
Ntefo,7516,07/04/2024 19:55:44,Corrupti coniuratio traho adhuc voluntarius utroque.,APROBADO
tFahh,4377,14/05/2024 12:49:55,Cotidie eos alii absorbeo tracto testimonium architecto ipsum sperno.,APROBADO
RJ28n,6894,30/01/2024 08:56:45,Aeger custodia denuo appositus aestivus vobis paulatim.,NO APROBADO
eCOSj,2724,19/01/2024 22:05:10,Aegrotatio varietas conitor summopere varietas caterva turba verbera quisquam.,NO APROBADO
MC5CY,1756,09/06/2024 10:43:14,Laudantium molestias depulso verbera aveho usque contigo.,APROBADO
w5PZF,5002,23/11/2023 10:18:43,Valens repudiandae ars mollitia aperio abutor deputo tenetur carpo verto.,NO APROBADO
AS3Wy,6408,26/05/2024 00:38:25,Laborum ater centum praesentium cultellus vomica solutio.,NO APROBADO
1IDJE,5490,06/07/2024 20:36:19,Venia volo nihil dolores abutor tabgo canto.,NO APROBADO
jJAkT,8082,17/05/2024 01:50:45,Vitiosus curriculum ademptio beatus suus adsidue degenero sunt crux assumenda.,NO APROBADO
8cf9z,8354,29/12/2023 10:09:14,Unus spiritus veniam quia agnosco.,NO APROBADO
Wi71s,2905,07/11/2023 07:58:47,Vitiosus decor nostrum cupio autem.,APROBADO
f7H5Z,9876,19/04/2024 03:45:07,Auditor debeo constans.,NO APROBADO
GnoFQ,4789,17/05/2024 09:57:17,Aperio abstergo amitto aureus conforto tracto doloremque sint voco.,NO APROBADO
Jkack,3270,16/09/2024 16:32:40,Tenus amo bis audentia terror vorago coruscus.,NO APROBADO
heems,8195,05/08/2024 09:02:25,Cornu triduana carpo ocer.,NO APROBADO
kktge,6548,24/08/2024 10:09:32,Una amitto voveo confido via.,APROBADO
IxKJ8,3981,22/01/2024 23:59:08,Claudeo antepono deporto bis dedico credo cura.,APROBADO
d4WKW,9764,16/01/2024 15:40:26,Dedecor strenuus claro et aeternus claro ultio reprehenderit adipiscor patrocinor.,APROBADO
VHJxv,5684,26/07/2024 04:42:35,Deprecator subiungo veniam aureus tergeo solus tondeo assentator conservo.,APROBADO
